A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,625,62511,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,194.58,0.0,0.0,1412.5,0.0,0.0,194.58,0.0,0.0,0.0,194.58
G,S,625,62511,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,194.58,0.0,0.0,1412.5,0.0,0.0,194.58,0.0,0.0,0.0,194.58
M,S,625,62511,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,194.58,0.0,0.0,1412.5,0.0,0.0,194.58,0.0,0.0,0.0,194.58
